time,measure,beat,is_first_in_measure
275.66,184,4,False
276.035,185,1,True
276.41,185,2,False
276.785,185,3,False
277.16,185,4,False
277.535,186,1,True
277.91,186,2,False
278.285,186,3,False
278.66,186,4,False
279.035,187,1,True
279.41,187,2,False
279.785,187,3,False
280.16,187,4,False
280.535,188,1,True
280.91,188,2,False
281.285,188,3,False
281.66,188,4,False
282.035,189,1,True
282.41,189,2,False
282.785,189,3,False
283.16,189,4,False
283.535,190,1,True
283.91,190,2,False
284.285,190,3,False
284.66,190,4,False
285.035,191,1,True
285.41,191,2,False
285.785,191,3,False
286.16,191,4,False
286.535,192,1,True
286.91,192,2,False
287.285,192,3,False
287.66,192,4,False
288.035,193,1,True
288.41,193,2,False
288.785,193,3,False
289.16,193,4,False
289.535,194,1,True
289.91,194,2,False
290.285,194,3,False
290.66,194,4,False
291.035,195,1,True
291.41,195,2,False
291.785,195,3,False
292.16,195,4,False
292.535,196,1,True
292.91,196,2,False
293.285,196,3,False
293.66,196,4,False
