91.592	91.592	M62B1
91.967	91.967	M62B2
92.342	92.342	M62B3
92.717	92.717	M62B4
93.092	93.092	M63B1
93.467	93.467	M63B2
93.842	93.842	M63B3
94.217	94.217	M63B4
94.592	94.592	M64B1
94.967	94.967	M64B2
95.342	95.342	M64B3
95.717	95.717	M64B4
96.092	96.092	M65B1
96.467	96.467	M65B2
96.842	96.842	M65B3
97.217	97.217	M65B4
97.592	97.592	M66B1
97.967	97.967	M66B2
98.342	98.342	M66B3
98.717	98.717	M66B4
99.092	99.092	M67B1
99.467	99.467	M67B2
99.842	99.842	M67B3
100.217	100.217	M67B4
100.592	100.592	M68B1
100.967	100.967	M68B2
101.342	101.342	M68B3
101.717	101.717	M68B4
102.092	102.092	M69B1
102.467	102.467	M69B2
102.842	102.842	M69B3
103.217	103.217	M69B4
103.592	103.592	M70B1
103.967	103.967	M70B2
104.342	104.342	M70B3
104.717	104.717	M70B4
105.092	105.092	M71B1
105.467	105.467	M71B2
105.842	105.842	M71B3
106.217	106.217	M71B4
106.592	106.592	M72B1
106.967	106.967	M72B2
107.342	107.342	M72B3
107.717	107.717	M72B4
108.092	108.092	M73B1
108.467	108.467	M73B2
108.842	108.842	M73B3
109.217	109.217	M73B4
109.592	109.592	M74B1
109.967	109.967	M74B2
110.342	110.342	M74B3
110.717	110.717	M74B4
111.092	111.092	M75B1
111.467	111.467	M75B2
111.842	111.842	M75B3
112.217	112.217	M75B4
112.592	112.592	M76B1
112.967	112.967	M76B2
113.342	113.342	M76B3
113.717	113.717	M76B4
114.092	114.092	M77B1
114.467	114.467	M77B2
114.842	114.842	M77B3
115.217	115.217	M77B4
115.592	115.592	M78B1
115.967	115.967	M78B2
116.342	116.342	M78B3
116.717	116.717	M78B4
117.092	117.092	M79B1
117.467	117.467	M79B2
117.842	117.842	M79B3
118.217	118.217	M79B4
118.592	118.592	M80B1
118.967	118.967	M80B2
119.342	119.342	M80B3
119.717	119.717	M80B4
120.092	120.092	M81B1
120.467	120.467	M81B2
120.842	120.842	M81B3
121.217	121.217	M81B4
121.592	121.592	M82B1
121.967	121.967	M82B2
122.342	122.342	M82B3
122.717	122.717	M82B4
123.092	123.092	M83B1
123.467	123.467	M83B2
123.842	123.842	M83B3
124.217	124.217	M83B4
124.592	124.592	M84B1
124.967	124.967	M84B2
125.342	125.342	M84B3
125.717	125.717	M84B4
126.092	126.092	M85B1
126.467	126.467	M85B2
126.842	126.842	M85B3
127.217	127.217	M85B4
127.592	127.592	M86B1
127.967	127.967	M86B2
128.342	128.342	M86B3
128.717	128.717	M86B4
129.092	129.092	M87B1
129.467	129.467	M87B2
129.842	129.842	M87B3
130.217	130.217	M87B4
130.592	130.592	M88B1
130.967	130.967	M88B2
131.342	131.342	M88B3
131.717	131.717	M88B4
132.092	132.092	M89B1
132.467	132.467	M89B2
132.842	132.842	M89B3
133.217	133.217	M89B4
133.592	133.592	M90B1
133.967	133.967	M90B2
134.342	134.342	M90B3
134.717	134.717	M90B4
135.092	135.092	M91B1
135.467	135.467	M91B2
135.842	135.842	M91B3
136.217	136.217	M91B4
136.592	136.592	M92B1
136.967	136.967	M92B2
137.342	137.342	M92B3
137.717	137.717	M92B4
138.092	138.092	M93B1
138.467	138.467	M93B2
138.842	138.842	M93B3
139.217	139.217	M93B4
139.592	139.592	M94B1
139.967	139.967	M94B2
140.342	140.342	M94B3
140.717	140.717	M94B4
141.092	141.092	M95B1
141.467	141.467	M95B2
141.842	141.842	M95B3
142.217	142.217	M95B4
142.592	142.592	M96B1
142.967	142.967	M96B2
143.342	143.342	M96B3
143.717	143.717	M96B4
144.092	144.092	M97B1
144.467	144.467	M97B2
144.842	144.842	M97B3
145.217	145.217	M97B4
145.592	145.592	M98B1
145.967	145.967	M98B2
146.342	146.342	M98B3
